Date;Time;Vehicule_No;Vehicule_Etat;Ligne_No;Ligne_Destination;Course_No;Arret_StopID;Arret_Mnemol;Arret_Nom;Horaire;Vehicule_Latitude;Vehicule_Longitude;Vehicule_Cap;Indicateur_Avance;Indicateur_Retard
10/11/2017 00:00:00;17:29:55;2007;LIGN;1;MOSSON;268436430;41231;PHILIRTW;PHILIPPIDES;17:30:33;1847355;724163;293;00:00:00;00:00:17
10/11/2017 00:00:00;17:29:55;2017;LIGN;1;MOSSON;268435566;41233;BOUTORTW;BOUTONNET;17:29:34;1847950;723780;341;00:00:00;00:01:25
10/11/2017 00:00:00;17:29:55;2027;LIGN;1;MOSSON;268435616;41239;LAPEYRTW;HOP. LAPEYRONIE;17:30:55;1848546;722947;270;00:00:00;00:01:25
10/11/2017 00:00:00;17:29:55;2010;LIGN;1;MOSSON;268435522;41243;CHATORTW;CHATEAU D'O;17:29:39;1848887;721737;162;00:00:00;00:00:42
10/11/2017 00:00:00;17:29:55;2008;LIGN;1;MOSSON;268436304;41247;EUROMRTW;EUROMEDECINE;17:30:41;1849548;720728;330;00:00:00;00:01:40
10/11/2017 00:00:00;17:29:55;2015;LIGN;1;MOSSON;268436407;41251;STPAURTW;SAINT-PAUL;17:30:04;1848779;720023;270;00:00:00;00:01:58
10/11/2017 00:00:00;17:29:55;190;LIGN;13;SAINT-ELOI;268439453;5280;CNEARC;AGROPOLIS;17:29:40;1850607;723754;216;00:01:12;00:00:00
10/11/2017 00:00:00;17:29:55;2049;TDEP;2;SABLASSOU;268436808;42101;VEDASD;ST-JEAN CENTRE;17:31:00;1842575;720835;133;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2055;LIGN;2;SABLASSOU;268437039;42113;ANGOUTWE;VIL. D'ANGOULEME;17:29:38;1844183;723661;2;00:00:19;00:00:00
10/11/2017 00:00:00;17:29:55;2061;LIGN;2;JACOU;268436690;42119;LEMASTWE;LEMASSON;17:29:44;1844745;724259;128;00:00:00;00:01:00
10/11/2017 00:00:00;17:29:55;2033;LIGN;4;GARCIA LORCA;268437698;42123;NVSTROCE;NOUVEAU ST-ROCH;17:30:10;1845219;724458;349;00:00:00;00:00:18
10/11/2017 00:00:00;17:29:55;2070;LIGN;3;LATTES CENTRE;268437251;42131;VOLTAIRS;VOLTAIRE;17:29:36;1845867;725548;85;00:01:54;00:00:00
10/11/2017 00:00:00;17:29:55;2045;LIGN;4;GARCIA LORCA;268437813;42137;POMPITWS;POMPIGNANE;17:30:28;1846810;725958;6;00:00:10;00:00:00
10/11/2017 00:00:00;17:29:55;2094;LIGN;2;JACOU;268436508;42141;CORUM2S;CORUM T2;17:29:57;1847023;724988;0;00:00:43;00:00:00
10/11/2017 00:00:00;17:29:55;2053;LIGN;2;SABLASSOU;268436575;42147;AIGUETWS;AIGUELONGUE;17:31:32;1847816;725033;333;00:00:00;00:01:32
10/11/2017 00:00:00;17:29:55;2051;LIGN;2;JACOU;268437051;42151;DEGAULLS;CH. DE GAULLE;17:29:46;1848659;726158;52;00:00:00;00:02:47
10/11/2017 00:00:00;17:29:55;2054;TDEP;2;HORS SERVICE;268436837;42159;SABLASSS;ND DE SABLASSOU;17:29:24;1849331;728129;59;00:00:00;00:02:39
10/11/2017 00:00:00;17:29:55;2064;LIGN;2;JACOU;268436893;42163;AUBEROUS;AUBE ROUGE;17:29:34;1849844;728324;339;00:00:00;00:05:43
10/11/2017 00:00:00;17:29:55;2059;TDEP;2;ST-JEAN DE VEDAS;268436934;42169;JACOUTWS;JACOU;17:32:00;1851582;727325;90;00:00:00;00:00:00
10/11/2017 00:00:00;17:29:55;2060;LIGN;2;ST-JEAN DE VEDAS;268437009;42211;SABLASSE;ND DE SABLASSOU;17:31:08;1849707;728391;144;00:00:00;00:00:13
10/11/2017 00:00:00;17:29:55;2063;LIGN;2;HORS SERVICE;268437022;42211;SABLASSE;ND DE SABLASSOU;17:30:16;1849390;728204;238;00:00:00;00:05:17
10/11/2017 00:00:00;17:29:55;2093;LIGN;2;ST-JEAN DE VEDAS;268437074;42223;AIGUETWE;AIGUELONGUE;17:29:59;1848385;725008;265;00:00:00;00:01:45
